date,Bitcoin Price (US$),Bitcoin Daily Change (US$),Litecoin Price (US$),Litecoin Daily Change (US$),Ethereum Price (US$),Ethereum Daily Change (US$),Bitcoin Trend Metric,Litecoin Trend Metric,Ethereum Trend Metric,Facebook Libra Trend Metric,Cryptocurrency Trend Metric
2017-01-01,997.257358,28.286760999999842,4.475238341,0.1211267669999998,8.177851768,0.051522145999999935,7.0,0.0,0.0,0.0,0.0
2017-01-08,912.4849971000001,9.031713500000023,4.010981193,0.035871494000000226,10.43859733,0.5138527360000005,6.0,0.0,0.0,0.0,0.0
2017-01-15,824.5470652,4.501907899999992,3.924410794,-0.03319514499999965,9.871377501,0.09250957099999901,4.0,0.0,0.0,0.0,0.0
2017-01-22,922.4670774,-2.001182100000051,3.848604777,-0.06962032699999998,10.70409294,-0.25807088,4.0,0.0,0.0,0.0,0.0
2017-01-29,915.6320231000001,-7.142925499999819,3.859208989,-0.00885241499999978,10.49499527,-0.06887830999999878,4.0,0.0,0.0,0.0,0.0
2017-02-05,1014.567876,-19.218097000000057,3.965985494,-0.049011874999999705,11.244430099999999,-0.1515468300000009,5.0,0.0,0.0,0.0,0.0
2017-02-12,1006.296465,-5.0788570000000846,3.781199475,-0.05344445600000025,11.46373796,-0.019788020000000017,4.0,0.0,0.0,0.0,0.0
2017-02-19,1058.7864,-1.8824050000000625,3.801465718,-0.008110028999999574,12.86141336,-0.036861860000000135,5.0,0.0,0.0,0.0,0.0
2017-02-26,1181.7108660000001,30.106129000000237,3.8821893860000003,-0.011295575000000113,14.65900731,1.0135771400000007,6.0,0.0,1.0,0.0,0.0
2017-03-05,1276.2736830000001,7.333019000000149,3.997968092,0.0028487579999998403,19.30111122,0.6168863299999998,7.0,0.0,0.0,0.0,0.0
2017-03-12,1231.748357,54.92543599999976,3.903947935,0.10060802300000038,23.21961883,1.7734025800000026,6.0,0.0,1.0,0.0,0.0
2017-03-19,1020.220254,57.65119779999986,3.932630142,-0.12494936600000006,43.34329767,11.101632279999997,6.0,0.0,1.0,0.0,0.0
2017-03-26,962.9580546,-5.585274700000014,4.0733539510000005,-0.02322428099999918,50.38064277,0.22333161000000246,5.0,0.0,1.0,0.0,0.0
2017-04-02,1105.562956,16.038184,8.321470613999999,0.7182112299999996,48.79426222,-1.8913479200000012,5.0,0.0,1.0,0.0,0.0
2017-04-09,1213.6341400000001,29.2164200000002,9.3066244,-1.4418827099999998,43.92107333,-0.7036465800000045,5.0,0.0,1.0,0.0,0.0
2017-04-16,1173.69138,-1.8708090000000084,11.6662676,0.010124719999998533,48.17713195,-0.9463186599999958,5.0,0.0,1.0,0.0,0.0
2017-04-23,1250.001483,6.451090000000022,15.33393033,1.1849721300000002,48.87079304,0.2581364999999991,5.0,0.0,1.0,0.0,0.0
2017-04-30,1381.956372,24.241119000000253,16.19661633,0.05899982000000037,80.50402759,10.025682450000005,7.0,1.0,2.0,0.0,0.0
2017-05-07,1526.2677720000002,-47.01773799999978,28.7802109,0.3881906700000002,76.63553116,-18.884682280000007,10.0,1.0,1.0,0.0,1.0
2017-05-14,1794.5935510000002,14.753294000000096,28.66312854,0.07799757999999812,89.48000167,1.19672675999999,12.0,0.0,2.0,0.0,1.0
2017-05-21,2045.222493,-2.895185000000083,26.00537762,-1.2166851399999992,147.7317627,23.11098489999999,20.0,1.0,5.0,0.0,1.0
2017-05-28,2225.700867,181.40036699999996,24.66675651,1.6801813999999986,173.2167345,17.490684999999985,13.0,1.0,4.0,0.0,1.0
2017-06-04,2524.993834,-24.558117999999922,27.66970123,0.2753209400000003,245.4687001,21.16131050000004,13.0,1.0,4.0,0.0,1.0
2017-06-11,2974.214559,57.88669899999968,33.80266094,3.8715731300000016,344.02691,-0.9250771000000668,13.0,1.0,7.0,0.0,2.0
2017-06-18,2508.214207,-144.54115599999977,42.97699781,-3.501785990000002,350.5344631,-17.50280600000002,11.0,1.0,6.0,0.0,1.0
2017-06-25,2497.728941,-64.46020799999997,40.50277508,-2.2748338000000032,276.2423451,-28.52658269999995,11.0,1.0,5.0,0.0,1.0
2017-07-02,2518.872187,106.50597400000015,41.61745562,3.5010984999999977,286.5332567,25.31389469999999,9.0,1.0,3.0,0.0,1.0
