Category: All categories,,,,,
,,,,,
Week,bitcoin: (Worldwide),litecoin: (Worldwide),ethereum: (Worldwide),facebook libra: (Worldwide),cryptocurrency: (Worldwide)
12/10/2017,84,16,9,<1,9
12/17/2017,100,9,9,<1,10
12/24/2017,63,4,5,<1,8
12/31/2017,47,4,7,<1,11
1/7/2018,45,3,9,<1,10
1/14/2018,56,3,7,<1,10
1/21/2018,38,2,4,<1,6
1/28/2018,40,2,5,<1,6
2/4/2018,47,2,4,<1,5
2/11/2018,27,3,3,<1,4
2/18/2018,24,3,3,<1,3
2/25/2018,19,1,2,<1,3
3/4/2018,19,1,2,<1,3
3/11/2018,19,1,2,<1,3
3/18/2018,18,1,2,<1,2
3/25/2018,18,1,2,<1,2
4/1/2018,17,1,2,<1,2
4/8/2018,16,1,1,<1,2
4/15/2018,14,1,2,<1,2
4/22/2018,15,1,2,<1,2
4/29/2018,13,1,2,<1,2
5/6/2018,13,1,2,<1,2
5/13/2018,11,<1,1,<1,2
5/20/2018,11,<1,1,<1,2
5/27/2018,10,<1,1,<1,1
6/3/2018,9,<1,1,<1,1
6/10/2018,13,1,1,<1,2
6/17/2018,10,<1,1,<1,1
6/24/2018,11,<1,1,<1,1
7/1/2018,10,<1,1,<1,1
7/8/2018,9,<1,1,<1,1
7/15/2018,11,<1,1,<1,1
7/22/2018,12,<1,1,<1,1
7/29/2018,10,<1,1,<1,1
8/5/2018,11,<1,1,<1,1
8/12/2018,11,<1,2,<1,1
8/19/2018,10,<1,1,<1,1
8/26/2018,10,<1,1,<1,1
9/2/2018,11,<1,1,<1,1
9/9/2018,10,<1,1,<1,1
9/16/2018,9,<1,1,<1,1
9/23/2018,8,<1,1,<1,1
9/30/2018,8,<1,1,<1,1
10/7/2018,8,<1,1,<1,1
10/14/2018,8,<1,1,<1,1
10/21/2018,7,<1,1,<1,1
10/28/2018,8,<1,1,<1,1
11/4/2018,8,<1,1,<1,1
11/11/2018,10,<1,1,<1,1
11/18/2018,14,<1,1,<1,1
11/25/2018,14,<1,1,<1,1
12/2/2018,12,<1,1,<1,1
12/9/2018,11,<1,1,<1,1
12/16/2018,11,<1,1,<1,1
12/23/2018,10,<1,1,<1,1
